fir_id,district,police_station,ipc_section,crime_type,date_of_incident,location_description,latitude,longitude,modus_operandi,investigation_status,fir_text
FIR-2025-KA-2818,Chikkamagaluru,Chikkamagaluru Police Station,498A,Cruelty by Husband or Relatives,2023-12-28,"H.No. 367, Raja Circle, Silchar-132399",14.030471,77.70541,Entered through unlocked door,Closed,"An incident of Cruelty by Husband or Relatives under IPC Section 498A was reported at Chikkamagaluru Police Station, Chikkamagaluru. The incident took place at H.No. 367, Raja Circle, Silchar-132399. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Closed."
FIR-2026-KA-2819,Hassan,Hassan Police Station,397,Robbery/Dacoity with Attempt to Cause Death,2023-10-08,"14, Sagar Street, Motihari 105010",15.953145,74.833774,Offered high returns on fake investment scheme,Chargesheeted,"An incident of Robbery/Dacoity with Attempt to Cause Death under IPC Section 397 was reported at Hassan Police Station, Hassan. The incident took place at 14, Sagar Street, Motihari 105010. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Chargesheeted."
FIR-2024-KA-2820,Hubballi-Dharwad,Hubballi-Dharwad Police Station,384,Extortion,2024-10-20,"21/61, Nagi, Kadapa-808917",12.144518,76.308827,Created fake profile on social media to defraud,Open,"An incident of Extortion under IPC Section 384 was reported at Hubballi-Dharwad Police Station, Hubballi-Dharwad. The incident took place at 21/61, Nagi, Kadapa-808917. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Open."
FIR-2026-KA-2821,Bengaluru Rural,Bengaluru Police Station,394,Voluntarily Causing Hurt in Committing Robbery,2026-06-13,"70/31, Morar Zila, Amritsar-037570",12.520277,74.264434,Snatched chain from victim walking on road,Open,"An incident of Voluntarily Causing Hurt in Committing Robbery under IPC Section 394 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at 70/31, Morar Zila, Amritsar-037570. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Open."
FIR-2026-KA-2822,Vijayapura,Vijayapura Police Station,406,Criminal Breach of Trust,2024-11-26,"718, Ratta Road, Buxar 856155",16.979636,75.114558,Broke open padlock of shop at night,Closed,"An incident of Criminal Breach of Trust under IPC Section 406 was reported at Vijayapura Police Station, Vijayapura. The incident took place at 718, Ratta Road, Buxar 856155. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Closed."
FIR-2026-KA-2823,Tumakuru,Tumakuru Police Station,380,Theft in Dwelling House,2023-12-01,"H.No. 300, Mahal Ganj, Hapur-261795",15.01886,75.698013,Offered high returns on fake investment scheme,Closed,"An incident of Theft in Dwelling House under IPC Section 380 was reported at Tumakuru Police Station, Tumakuru. The incident took place at H.No. 300, Mahal Ganj, Hapur-261795. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Closed."
FIR-2024-KA-2824,Hassan,Hassan Police Station,380,Theft in Dwelling House,2025-11-30,"H.No. 832, Kurian Marg, Hyderabad-708148",15.244876,78.275298,Assaulted victim following heated argument over traffic,Closed,"An incident of Theft in Dwelling House under IPC Section 380 was reported at Hassan Police Station, Hassan. The incident took place at H.No. 832, Kurian Marg, Hyderabad-708148. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Closed."
FIR-2023-KA-2825,Davangere,Davangere Police Station,324,Voluntarily Causing Hurt by Dangerous Weapons,2024-05-11,"82, Atwal Path, Kalyan-Dombivli-703940",17.898918,77.743785,Threatened victim with knife in isolated area,Chargesheeted,"An incident of Voluntarily Causing Hurt by Dangerous Weapons under IPC Section 324 was reported at Davangere Police Station, Davangere. The incident took place at 82, Atwal Path, Kalyan-Dombivli-703940. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Chargesheeted."
FIR-2024-KA-2826,Kalaburagi,Kalaburagi Police Station,420,Cheating/Fraud,2026-04-08,"18, Deol Circle, Ranchi 361529",12.95441,75.264917,Assaulted victim following heated argument over traffic,Chargesheeted,"An incident of Cheating/Fraud under IPC Section 420 was reported at Kalaburagi Police Station, Kalaburagi. The incident took place at 18, Deol Circle, Ranchi 361529. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Chargesheeted."
FIR-2024-KA-2827,Ballari,Ballari Police Station,379,Theft,2024-12-04,"H.No. 80, Gill Circle, Bhalswa Jahangir Pur 111210",16.76001,77.192362,Snatched chain from victim walking on road,Open,"An incident of Theft under IPC Section 379 was reported at Ballari Police Station, Ballari. The incident took place at H.No. 80, Gill Circle, Bhalswa Jahangir Pur 111210. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Open."
FIR-2024-KA-2828,Hassan,Hassan Police Station,326,Voluntarily Causing Grievous Hurt by Dangerous Weapons,2026-04-12,"75/011, Dutta Road, Shimoga 382512",15.339761,77.039513,Offered high returns on fake investment scheme,Chargesheeted,"An incident of Voluntarily Causing Grievous Hurt by Dangerous Weapons under IPC Section 326 was reported at Hassan Police Station, Hassan. The incident took place at 75/011, Dutta Road, Shimoga 382512. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Chargesheeted."
FIR-2023-KA-2829,Chikkamagaluru,Chikkamagaluru Police Station,376,Rape,2024-09-22,"41, Vaidya Path, Bellary-691564",15.65679,77.80834,Broke open padlock of shop at night,Chargesheeted,"An incident of Rape under IPC Section 376 was reported at Chikkamagaluru Police Station, Chikkamagaluru. The incident took place at 41, Vaidya Path, Bellary-691564. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Chargesheeted."
FIR-2025-KA-2830,Tumakuru,Tumakuru Police Station,397,Robbery/Dacoity with Attempt to Cause Death,2024-11-03,"H.No. 960, Hari Chowk, Warangal 536510",13.281547,76.231954,Created fake profile on social media to defraud,Chargesheeted,"An incident of Robbery/Dacoity with Attempt to Cause Death under IPC Section 397 was reported at Tumakuru Police Station, Tumakuru. The incident took place at H.No. 960, Hari Chowk, Warangal 536510. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Chargesheeted."
FIR-2025-KA-2831,Vijayapura,Vijayapura Police Station,384,Extortion,2025-04-14,"32/57, Vala Chowk, Ambala-155553",17.048399,77.084019,Created fake profile on social media to defraud,Open,"An incident of Extortion under IPC Section 384 was reported at Vijayapura Police Station, Vijayapura. The incident took place at 32/57, Vala Chowk, Ambala-155553. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Open."
FIR-2024-KA-2832,Davangere,Davangere Police Station,506,Criminal Intimidation,2024-12-24,"55/97, Raju Zila, Bathinda-673798",14.395065,74.226612,Offered high returns on fake investment scheme,Open,"An incident of Criminal Intimidation under IPC Section 506 was reported at Davangere Police Station, Davangere. The incident took place at 55/97, Raju Zila, Bathinda-673798. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Open."
FIR-2024-KA-2833,Mangaluru,Mangaluru Police Station,307,Attempt to Murder,2024-07-18,"44/13, Kale Ganj, Jehanabad 674251",12.218418,77.786792,Broke open padlock of shop at night,Chargesheeted,"An incident of Attempt to Murder under IPC Section 307 was reported at Mangaluru Police Station, Mangaluru. The incident took place at 44/13, Kale Ganj, Jehanabad 674251. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Chargesheeted."
FIR-2024-KA-2834,Ballari,Ballari Police Station,364,Kidnapping in Order to Murder,2024-01-09,"58/12, Oza Nagar, Kochi 333938",16.581179,77.869512,Snatched chain from victim walking on road,Chargesheeted,"An incident of Kidnapping in Order to Murder under IPC Section 364 was reported at Ballari Police Station, Ballari. The incident took place at 58/12, Oza Nagar, Kochi 333938. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Chargesheeted."
FIR-2023-KA-2835,Bengaluru Rural,Bengaluru Police Station,395,Dacoity,2025-05-10,"05/130, Maharaj Ganj, Surendranagar Dudhrej-286372",12.444746,75.326787,Threatened victim with knife in isolated area,Closed,"An incident of Dacoity under IPC Section 395 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at 05/130, Maharaj Ganj, Surendranagar Dudhrej-286372. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Closed."
FIR-2024-KA-2836,Hubballi-Dharwad,Hubballi-Dharwad Police Station,397,Robbery/Dacoity with Attempt to Cause Death,2024-04-02,"159, Garde Zila, Davanagere 734728",17.887012,75.018887,Created fake profile on social media to defraud,Chargesheeted,"An incident of Robbery/Dacoity with Attempt to Cause Death under IPC Section 397 was reported at Hubballi-Dharwad Police Station, Hubballi-Dharwad. The incident took place at 159, Garde Zila, Davanagere 734728. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Chargesheeted."
FIR-2023-KA-2837,Belagavi,Belagavi Police Station,380,Theft in Dwelling House,2026-05-27,"H.No. 48, Dara, Guntur 587123",18.150464,74.079868,Created fake profile on social media to defraud,Open,"An incident of Theft in Dwelling House under IPC Section 380 was reported at Belagavi Police Station, Belagavi. The incident took place at H.No. 48, Dara, Guntur 587123. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Open."
FIR-2025-KA-2838,Shivamogga,Shivamogga Police Station,395,Dacoity,2024-05-25,"65/43, Chada Path, Motihari 357525",15.841566,75.044416,Offered high returns on fake investment scheme,Closed,"An incident of Dacoity under IPC Section 395 was reported at Shivamogga Police Station, Shivamogga. The incident took place at 65/43, Chada Path, Motihari 357525. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Closed."
FIR-2024-KA-2839,Tumakuru,Tumakuru Police Station,324,Voluntarily Causing Hurt by Dangerous Weapons,2024-02-25,"H.No. 409, Sarraf Ganj, Tadipatri-409758",14.673422,77.582634,Snatched chain from victim walking on road,Open,"An incident of Voluntarily Causing Hurt by Dangerous Weapons under IPC Section 324 was reported at Tumakuru Police Station, Tumakuru. The incident took place at H.No. 409, Sarraf Ganj, Tadipatri-409758. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Open."
FIR-2023-KA-2840,Mangaluru,Mangaluru Police Station,406,Criminal Breach of Trust,2024-07-04,"925, Parekh Street, Tadepalligudem 375607",17.906569,74.666929,Snatched chain from victim walking on road,Closed,"An incident of Criminal Breach of Trust under IPC Section 406 was reported at Mangaluru Police Station, Mangaluru. The incident took place at 925, Parekh Street, Tadepalligudem 375607. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Closed."
FIR-2024-KA-2841,Shivamogga,Shivamogga Police Station,397,Robbery/Dacoity with Attempt to Cause Death,2026-02-11,"H.No. 311, Chand Nagar, Rewa 197345",15.34649,78.365859,Broke open padlock of shop at night,Closed,"An incident of Robbery/Dacoity with Attempt to Cause Death under IPC Section 397 was reported at Shivamogga Police Station, Shivamogga. The incident took place at H.No. 311, Chand Nagar, Rewa 197345. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Closed."
FIR-2024-KA-2842,Kalaburagi,Kalaburagi Police Station,420,Cheating/Fraud,2023-10-08,"H.No. 45, Nath Path, Gandhidham-719437",17.168356,77.344557,Offered high returns on fake investment scheme,Chargesheeted,"An incident of Cheating/Fraud under IPC Section 420 was reported at Kalaburagi Police Station, Kalaburagi. The incident took place at H.No. 45, Nath Path, Gandhidham-719437. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Chargesheeted."
FIR-2024-KA-2843,Mangaluru,Mangaluru Police Station,302,Murder,2023-10-29,"H.No. 898, Kibe Path, Shimla 218210",14.491666,76.554188,Assaulted victim following heated argument over traffic,Closed,"An incident of Murder under IPC Section 302 was reported at Mangaluru Police Station, Mangaluru. The incident took place at H.No. 898, Kibe Path, Shimla 218210. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Closed."
FIR-2026-KA-2844,Bengaluru Urban,Bengaluru Police Station,326,Voluntarily Causing Grievous Hurt by Dangerous Weapons,2025-05-18,"H.No. 248, Char Path, Ratlam 733922",12.967704,77.658061,Assaulted victim following heated argument over traffic,Chargesheeted,"An incident of Voluntarily Causing Grievous Hurt by Dangerous Weapons under IPC Section 326 was reported at Bengaluru Police Station, Bengaluru Urban. The incident took place at H.No. 248, Char Path, Ratlam 733922. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Chargesheeted."
FIR-2026-KA-2845,Davangere,Davangere Police Station,307,Attempt to Murder,2026-01-29,"15/365, Ravel Marg, Srinagar-672922",16.626788,74.756108,Assaulted victim following heated argument over traffic,Chargesheeted,"An incident of Attempt to Murder under IPC Section 307 was reported at Davangere Police Station, Davangere. The incident took place at 15/365, Ravel Marg, Srinagar-672922. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Chargesheeted."
FIR-2023-KA-2846,Bengaluru Urban,Bengaluru Police Station,395,Dacoity,2025-09-23,"466, Iyer Circle, Yamunanagar-222221",12.839052,77.681731,Created fake profile on social media to defraud,Chargesheeted,"An incident of Dacoity under IPC Section 395 was reported at Bengaluru Police Station, Bengaluru Urban. The incident took place at 466, Iyer Circle, Yamunanagar-222221. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Chargesheeted."
FIR-2024-KA-2847,Shivamogga,Shivamogga Police Station,420,Cheating/Fraud,2025-11-18,"29/18, Peri Circle, Patna 454849",17.016437,78.338561,Assaulted victim following heated argument over traffic,Closed,"An incident of Cheating/Fraud under IPC Section 420 was reported at Shivamogga Police Station, Shivamogga. The incident took place at 29/18, Peri Circle, Patna 454849. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Closed."
FIR-2024-KA-2848,Shivamogga,Shivamogga Police Station,506,Criminal Intimidation,2025-05-13,"55, Sodhi Chowk, Siliguri-674588",14.743068,76.193328,Broke open padlock of shop at night,Chargesheeted,"An incident of Criminal Intimidation under IPC Section 506 was reported at Shivamogga Police Station, Shivamogga. The incident took place at 55, Sodhi Chowk, Siliguri-674588. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Chargesheeted."
FIR-2025-KA-2849,Tumakuru,Tumakuru Police Station,324,Voluntarily Causing Hurt by Dangerous Weapons,2024-09-15,"18/90, Chander Circle, Hosur-109667",12.252477,76.730557,Snatched chain from victim walking on road,Chargesheeted,"An incident of Voluntarily Causing Hurt by Dangerous Weapons under IPC Section 324 was reported at Tumakuru Police Station, Tumakuru. The incident took place at 18/90, Chander Circle, Hosur-109667. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Chargesheeted."
FIR-2025-KA-2850,Bengaluru Rural,Bengaluru Police Station,324,Voluntarily Causing Hurt by Dangerous Weapons,2024-04-10,"93/41, Palan Circle, Vijayanagaram 125858",13.790313,75.114073,Offered high returns on fake investment scheme,Open,"An incident of Voluntarily Causing Hurt by Dangerous Weapons under IPC Section 324 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at 93/41, Palan Circle, Vijayanagaram 125858. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Open."
FIR-2024-KA-2851,Shivamogga,Shivamogga Police Station,506,Criminal Intimidation,2024-02-29,"H.No. 57, Raghavan Street, Pune 313167",18.039314,78.385177,Assaulted victim following heated argument over traffic,Chargesheeted,"An incident of Criminal Intimidation under IPC Section 506 was reported at Shivamogga Police Station, Shivamogga. The incident took place at H.No. 57, Raghavan Street, Pune 313167. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Chargesheeted."
FIR-2023-KA-2852,Hubballi-Dharwad,Hubballi-Dharwad Police Station,397,Robbery/Dacoity with Attempt to Cause Death,2025-10-14,"44/02, Varkey Street, Mahbubnagar 193914",15.445935,77.625506,Snatched chain from victim walking on road,Closed,"An incident of Robbery/Dacoity with Attempt to Cause Death under IPC Section 397 was reported at Hubballi-Dharwad Police Station, Hubballi-Dharwad. The incident took place at 44/02, Varkey Street, Mahbubnagar 193914. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Closed."
FIR-2024-KA-2853,Belagavi,Belagavi Police Station,326,Voluntarily Causing Grievous Hurt by Dangerous Weapons,2024-09-21,"H.No. 377, Madan Zila, Bhilai-005901",12.811931,75.92464,Entered through unlocked door,Chargesheeted,"An incident of Voluntarily Causing Grievous Hurt by Dangerous Weapons under IPC Section 326 was reported at Belagavi Police Station, Belagavi. The incident took place at H.No. 377, Madan Zila, Bhilai-005901. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Chargesheeted."
FIR-2024-KA-2854,Mangaluru,Mangaluru Police Station,380,Theft in Dwelling House,2026-05-07,"644, Tak Chowk, Morbi-870283",12.583,77.244995,Snatched chain from victim walking on road,Chargesheeted,"An incident of Theft in Dwelling House under IPC Section 380 was reported at Mangaluru Police Station, Mangaluru. The incident took place at 644, Tak Chowk, Morbi-870283. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Chargesheeted."
FIR-2025-KA-2855,Vijayapura,Vijayapura Police Station,384,Extortion,2025-02-07,"837, Konda, Mangalore 891768",12.626229,77.55008,Offered high returns on fake investment scheme,Open,"An incident of Extortion under IPC Section 384 was reported at Vijayapura Police Station, Vijayapura. The incident took place at 837, Konda, Mangalore 891768. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Open."
FIR-2024-KA-2856,Mangaluru,Mangaluru Police Station,380,Theft in Dwelling House,2025-02-25,"H.No. 424, Kala, Mira-Bhayandar 190364",12.715085,77.484986,Entered through unlocked door,Open,"An incident of Theft in Dwelling House under IPC Section 380 was reported at Mangaluru Police Station, Mangaluru. The incident took place at H.No. 424, Kala, Mira-Bhayandar 190364. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Open."
FIR-2024-KA-2857,Hassan,Hassan Police Station,302,Murder,2024-04-10,"H.No. 78, Dewan Zila, Udupi-158522",12.608078,77.349494,Snatched chain from victim walking on road,Closed,"An incident of Murder under IPC Section 302 was reported at Hassan Police Station, Hassan. The incident took place at H.No. 78, Dewan Zila, Udupi-158522. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Closed."
FIR-2025-KA-2858,Tumakuru,Tumakuru Police Station,397,Robbery/Dacoity with Attempt to Cause Death,2025-04-04,"H.No. 82, Sinha Ganj, Gurgaon-806728",17.542036,78.111592,Threatened victim with knife in isolated area,Closed,"An incident of Robbery/Dacoity with Attempt to Cause Death under IPC Section 397 was reported at Tumakuru Police Station, Tumakuru. The incident took place at H.No. 82, Sinha Ganj, Gurgaon-806728. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Closed."
FIR-2023-KA-2859,Kalaburagi,Kalaburagi Police Station,364,Kidnapping in Order to Murder,2026-05-03,"31/13, Krish Chowk, New Delhi 016498",18.01267,77.190302,Snatched chain from victim walking on road,Open,"An incident of Kidnapping in Order to Murder under IPC Section 364 was reported at Kalaburagi Police Station, Kalaburagi. The incident took place at 31/13, Krish Chowk, New Delhi 016498. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Open."
FIR-2023-KA-2860,Davangere,Davangere Police Station,363,Kidnapping,2024-03-30,"48/706, Zachariah Ganj, Ahmedabad-462119",18.228423,74.774344,Offered high returns on fake investment scheme,Open,"An incident of Kidnapping under IPC Section 363 was reported at Davangere Police Station, Davangere. The incident took place at 48/706, Zachariah Ganj, Ahmedabad-462119. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Open."
FIR-2024-KA-2861,Tumakuru,Tumakuru Police Station,364,Kidnapping in Order to Murder,2023-10-03,"H.No. 419, Mital Marg, Rajkot 193937",18.367648,74.171913,Threatened victim with knife in isolated area,Chargesheeted,"An incident of Kidnapping in Order to Murder under IPC Section 364 was reported at Tumakuru Police Station, Tumakuru. The incident took place at H.No. 419, Mital Marg, Rajkot 193937. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Chargesheeted."
FIR-2025-KA-2862,Bengaluru Urban,Bengaluru Police Station,394,Voluntarily Causing Hurt in Committing Robbery,2024-05-04,"02/010, Viswanathan Street, Raurkela Industrial Township-391672",13.018286,77.633111,Entered through unlocked door,Closed,"An incident of Voluntarily Causing Hurt in Committing Robbery under IPC Section 394 was reported at Bengaluru Police Station, Bengaluru Urban. The incident took place at 02/010, Viswanathan Street, Raurkela Industrial Township-391672. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Closed."
FIR-2023-KA-2863,Davangere,Davangere Police Station,379,Theft,2025-12-06,"42/800, Biswas Chowk, Malda-220187",15.824527,77.300242,Broke open padlock of shop at night,Closed,"An incident of Theft under IPC Section 379 was reported at Davangere Police Station, Davangere. The incident took place at 42/800, Biswas Chowk, Malda-220187. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Closed."
FIR-2023-KA-2864,Chikkamagaluru,Chikkamagaluru Police Station,394,Voluntarily Causing Hurt in Committing Robbery,2026-02-22,"44/155, Kala Street, Singrauli 187581",11.795625,77.708278,Broke open padlock of shop at night,Open,"An incident of Voluntarily Causing Hurt in Committing Robbery under IPC Section 394 was reported at Chikkamagaluru Police Station, Chikkamagaluru. The incident took place at 44/155, Kala Street, Singrauli 187581. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Open."
FIR-2026-KA-2865,Hassan,Hassan Police Station,363,Kidnapping,2025-09-15,"27, Mannan Marg, Bijapur-611160",18.082674,76.203367,Threatened victim with knife in isolated area,Chargesheeted,"An incident of Kidnapping under IPC Section 363 was reported at Hassan Police Station, Hassan. The incident took place at 27, Mannan Marg, Bijapur-611160. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Chargesheeted."
FIR-2023-KA-2866,Tumakuru,Tumakuru Police Station,363,Kidnapping,2024-12-19,"H.No. 546, Sethi Circle, Kanpur-802878",12.408451,77.897201,Broke open padlock of shop at night,Open,"An incident of Kidnapping under IPC Section 363 was reported at Tumakuru Police Station, Tumakuru. The incident took place at H.No. 546, Sethi Circle, Kanpur-802878. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Open."
FIR-2025-KA-2867,Mangaluru,Mangaluru Police Station,379,Theft,2024-01-08,"H.No. 195, Handa Zila, Bongaigaon 195514",13.05153,74.06176,Assaulted victim following heated argument over traffic,Chargesheeted,"An incident of Theft under IPC Section 379 was reported at Mangaluru Police Station, Mangaluru. The incident took place at H.No. 195, Handa Zila, Bongaigaon 195514. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Chargesheeted."
FIR-2026-KA-2868,Kalaburagi,Kalaburagi Police Station,307,Attempt to Murder,2025-05-05,"H.No. 57, Chopra Circle, Kadapa-588880",15.437517,75.427191,Assaulted victim following heated argument over traffic,Closed,"An incident of Attempt to Murder under IPC Section 307 was reported at Kalaburagi Police Station, Kalaburagi. The incident took place at H.No. 57, Chopra Circle, Kadapa-588880. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Closed."
FIR-2026-KA-2869,Bengaluru Rural,Bengaluru Police Station,384,Extortion,2024-09-10,"H.No. 280, Dutta Road, Pudukkottai-171718",16.416597,74.038498,Entered through unlocked door,Open,"An incident of Extortion under IPC Section 384 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at H.No. 280, Dutta Road, Pudukkottai-171718. Modus operandi of the suspect: Entered through unlocked door. Investigation status is currently Open."
FIR-2023-KA-2870,Shivamogga,Shivamogga Police Station,395,Dacoity,2024-03-27,"66/173, Gera Nagar, Machilipatnam-323916",14.354703,76.477089,Assaulted victim following heated argument over traffic,Closed,"An incident of Dacoity under IPC Section 395 was reported at Shivamogga Police Station, Shivamogga. The incident took place at 66/173, Gera Nagar, Machilipatnam-323916. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Closed."
FIR-2026-KA-2871,Davangere,Davangere Police Station,363,Kidnapping,2024-11-06,"20/37, Tandon Zila, Mysore 828064",13.375102,78.39137,Threatened victim with knife in isolated area,Open,"An incident of Kidnapping under IPC Section 363 was reported at Davangere Police Station, Davangere. The incident took place at 20/37, Tandon Zila, Mysore 828064. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Open."
FIR-2025-KA-2872,Belagavi,Belagavi Police Station,392,Robbery,2024-02-15,"H.No. 94, Tiwari Zila, Anantapuram 021775",14.320167,74.762111,Created fake profile on social media to defraud,Closed,"An incident of Robbery under IPC Section 392 was reported at Belagavi Police Station, Belagavi. The incident took place at H.No. 94, Tiwari Zila, Anantapuram 021775. Modus operandi of the suspect: Created fake profile on social media to defraud. Investigation status is currently Closed."
FIR-2023-KA-2873,Chikkamagaluru,Chikkamagaluru Police Station,363,Kidnapping,2025-07-19,"H.No. 19, Ravel Marg, Deoghar 647687",15.491965,76.181483,Offered high returns on fake investment scheme,Closed,"An incident of Kidnapping under IPC Section 363 was reported at Chikkamagaluru Police Station, Chikkamagaluru. The incident took place at H.No. 19, Ravel Marg, Deoghar 647687. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Closed."
FIR-2023-KA-2874,Hubballi-Dharwad,Hubballi-Dharwad Police Station,380,Theft in Dwelling House,2024-12-19,"28/11, Srinivas Chowk, Ambattur 662741",18.009683,78.207316,Threatened victim with knife in isolated area,Closed,"An incident of Theft in Dwelling House under IPC Section 380 was reported at Hubballi-Dharwad Police Station, Hubballi-Dharwad. The incident took place at 28/11, Srinivas Chowk, Ambattur 662741. Modus operandi of the suspect: Threatened victim with knife in isolated area. Investigation status is currently Closed."
FIR-2023-KA-2875,Bengaluru Rural,Bengaluru Police Station,379,Theft,2025-06-20,"062, Aggarwal Path, Thiruvananthapuram-293958",11.934575,76.489024,Snatched chain from victim walking on road,Closed,"An incident of Theft under IPC Section 379 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at 062, Aggarwal Path, Thiruvananthapuram-293958. Modus operandi of the suspect: Snatched chain from victim walking on road. Investigation status is currently Closed."
FIR-2023-KA-2876,Bengaluru Rural,Bengaluru Police Station,394,Voluntarily Causing Hurt in Committing Robbery,2025-05-28,"64/48, Behl Zila, Mango-852884",14.697875,74.631713,Broke open padlock of shop at night,Chargesheeted,"An incident of Voluntarily Causing Hurt in Committing Robbery under IPC Section 394 was reported at Bengaluru Police Station, Bengaluru Rural. The incident took place at 64/48, Behl Zila, Mango-852884. Modus operandi of the suspect: Broke open padlock of shop at night. Investigation status is currently Chargesheeted."
FIR-2024-KA-2877,Belagavi,Belagavi Police Station,406,Criminal Breach of Trust,2023-10-26,"52/23, Atwal Zila, Ujjain-346084",14.980749,74.188974,Assaulted victim following heated argument over traffic,Chargesheeted,"An incident of Criminal Breach of Trust under IPC Section 406 was reported at Belagavi Police Station, Belagavi. The incident took place at 52/23, Atwal Zila, Ujjain-346084. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Chargesheeted."
FIR-2023-KA-2878,Tumakuru,Tumakuru Police Station,307,Attempt to Murder,2024-10-14,"22/660, Sura Street, Bidhannagar-053965",18.071987,77.285928,Offered high returns on fake investment scheme,Closed,"An incident of Attempt to Murder under IPC Section 307 was reported at Tumakuru Police Station, Tumakuru. The incident took place at 22/660, Sura Street, Bidhannagar-053965. Modus operandi of the suspect: Offered high returns on fake investment scheme. Investigation status is currently Closed."
FIR-2025-KA-2879,Mysuru,Mysuru Police Station,324,Voluntarily Causing Hurt by Dangerous Weapons,2025-07-06,"41/44, Puri, Firozabad 312242",17.274271,75.889541,Assaulted victim following heated argument over traffic,Closed,"An incident of Voluntarily Causing Hurt by Dangerous Weapons under IPC Section 324 was reported at Mysuru Police Station, Mysuru. The incident took place at 41/44, Puri, Firozabad 312242. Modus operandi of the suspect: Assaulted victim following heated argument over traffic. Investigation status is currently Closed."
